ResultId;AthleteId;RaceId;RaceName;Gender;Birthyear;CountryIso;County;Municipality;Status;ActualStartTime;FinishNetto;Place;PlaceClass;PlaceTotal;_5Km;_10Km;_15Km;_20Km
577996;153756;267;Göteborgsvarvet 2010;M;1976;SWE;STOCKHOLM;BOTKYRKA;FNS; 13:34:06;01:39:46;2396;0;2586;00:22:11;00:45:03;01:08:34;01:34:35
585076;205133;267;Göteborgsvarvet 2010;M;1964;SWE;VÄSTRA GÖTALAND;MARIESTAD;FNS; 15:40:21;02:06:32;16231;0;20049;00:28:04;00:56:48;01:28:02;02:00:36
604109;44620;267;Göteborgsvarvet 2010;M;1948;SWE;STOCKHOLM;JÄRFÄLLA;FNS; 14:45:11;02:14:52;20316;0;26178;00:28:09;00:58:55;01:31:48;02:07:30
613487;240664;267;Göteborgsvarvet 2010;M;1968;SWE;BLEKINGE;KARLSKRONA;FNS; 14:44:34;02:28:31;24401;0;32961;00:30:54;01:05:26;01:40:46;02:20:58
587841;97447;267;Göteborgsvarvet 2010;M;1968;SWE;HALLAND;KUNGSBACKA;FNS; 14:30:32;02:06:07;16007;0;19722;00:26:04;00:54:09;01:23:48;01:59:22
616431;58470;267;Göteborgsvarvet 2010;M;1973;SWE;VÄSTRA GÖTALAND;UDDEVALLA;FNS; 15:00:21;02:37:36;25793;0;35496;00:35:23;01:11:14;01:48:51;02:29:49
614668;243389;267;Göteborgsvarvet 2010;F;1982;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 13:55:41;01:53:23;1161;0;9454;00:27:58;00:55:00;01:21:34;01:48:02
603254;259722;267;Göteborgsvarvet 2010;F;1965;DEU;NULL;NULL;FNS; 15:19:50;02:50:43;10610;0;37345;00:38:48;01:17:43;01:58:12;02:41:39
592748;185926;267;Göteborgsvarvet 2010;M;1970;SWE;SKÅNE;HÄSSLEHOLM;FNS; 14:00:18;01:51:23;7220;0;8151;00:23:44;00:48:57;01:15:26;01:45:22
595606;50830;267;Göteborgsvarvet 2010;M;1977;SWE;VÄSTRA GÖTALAND;HÄRRYDA;FNS; 15:26:29;01:54:19;8841;0;10127;00:25:54;00:51:34;01:19:42;01:49:17
574954;100923;267;Göteborgsvarvet 2010;F;1972;SWE;ÖREBRO;ÖREBRO;FNS; 15:13:01;02:35:29;9472;0;35009;00:35:41;01:11:09;01:47:25;02:26:51
560822;176811;267;Göteborgsvarvet 2010;M;1947;SWE;GOTLAND;GOTLAND;FNS; 13:44:44;02:07:15;16602;0;20589;00:25:27;00:52:26;01:26:10;02:00:44
563216;226624;267;Göteborgsvarvet 2010;F;1977;SWE;VÄSTRA GÖTALAND;LIDKÖPING;FNS; 13:55:42;02:09:58;4634;0;22634;00:29:34;00:59:49;01:31:05;02:03:32
